orgID,oldID,CountDate,MaterialID,Counter,Priority,Completed,Unscheduled,Material Not Found,Reason Scheduled,CM Print Flag,Notes
1,1390,07/15/2022,196,Calvin,,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,Physically count!!
1,1391,07/15/2022,232,Calvin,,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,Still missing a lot - SEARCH!!!
1,1392,07/13/2022,294,Calvin,,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,are there 4 lonely plts somewhere?
1,1393,07/11/2022,44,,,TRUE,FALSE,FALSE,"Last count 6/13, phys=38, SAP=28",FALSE,
1,1394,07/11/2022,226,,,TRUE,FALSE,FALSE,"Last count 6/28, phys=93, SAP=15",FALSE,
1,1395,07/12/2022,258,Calvin,,TRUE,FALSE,FALSE,Received Material,FALSE,
1,1396,07/12/2022,263,Calvin,,TRUE,FALSE,FALSE,Last count 6/27 - excess mtl rcvd?,FALSE,
1,1399,07/18/2022,266,Calvin,,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,
1,1400,07/11/2022,55,,,TRUE,FALSE,FALSE,Last count 6/14,FALSE,
1,1401,07/11/2022,184,,,TRUE,FALSE,FALSE,last count 6/13,FALSE,
1,1402,07/19/2022,133,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1403,07/20/2022,254,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1404,07/14/2022,256,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1405,07/20/2022,287,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1406,07/20/2022,311,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1407,07/21/2022,479,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1408,07/20/2022,489,Calvin,,TRUE,FALSE,FALSE,"Received Material, Picked for Orders",FALSE,
1,1409,07/14/2022,2,Calvin,,TRUE,FALSE,TRUE,Last count 6/7,FALSE,
1,1410,07/20/2022,404,Calvin,,FALSE,FALSE,FALSE,Initial Count,FALSE,
1,1411,07/15/2022,242,Calvin,,FALSE,FALSE,FALSE,last count 6/28,FALSE,
1,1413,07/14/2022,322,Calvin,,TRUE,FALSE,FALSE,last count 6/7,FALSE,
1,1414,07/15/2022,240,Calvin,,TRUE,FALSE,FALSE,last count 6/7,FALSE,
1,1415,07/11/2022,96,,,TRUE,FALSE,FALSE,last count 6/27,FALSE,
1,1416,07/21/2022,88,Calvin,,TRUE,FALSE,FALSE,Received Material,FALSE,
1,1417,07/22/2022,132,Calvin,,TRUE,FALSE,FALSE,last count 6/7,FALSE,
1,1418,07/22/2022,206,Calvin,,TRUE,FALSE,FALSE,last count 6/7,FALSE,
1,1419,07/11/2022,67,,,TRUE,FALSE,FALSE,last count 6/13,FALSE,
1,1420,07/11/2022,131,,,TRUE,FALSE,FALSE,last ct 6/13,FALSE,
1,1421,07/11/2022,224,,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1422,07/11/2022,222,,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1423,07/14/2022,65,Calvin,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1424,07/14/2022,66,Calvin,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1425,07/14/2022,83,Calvin,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1426,07/14/2022,85,Calvin,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1427,07/15/2022,385,Calvin,,FALSE,FALSE,FALSE,lst ct 6/17,FALSE,
1,1428,07/15/2022,386,Calvin,,FALSE,FALSE,FALSE,last ct 6/7,FALSE,
1,1429,07/15/2022,86,Calvin,,TRUE,FALSE,FALSE,last ct 6/14,FALSE,
1,1430,07/15/2022,204,Calvin,,TRUE,FALSE,FALSE,last ct 6/7,FALSE,
1,1431,07/14/2022,19,Calvin,,TRUE,FALSE,FALSE,last ct 6/7,FALSE,
1,1432,07/15/2022,32,Calvin,,TRUE,FALSE,TRUE,Initial Count,FALSE,
1,1433,07/14/2022,432,Calvin,info,TRUE,FALSE,FALSE,Initial Count,FALSE,Check IQC
1,1434,07/15/2022,446,Calvin,,FALSE,FALSE,FALSE,last ct 6/17,FALSE,
1,1435,07/12/2022,120,Calvin,,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,
1,1436,07/14/2022,140,Calvin,,TRUE,FALSE,FALSE,Received Material,FALSE,
1,1438,07/12/2022,224,Calvin,,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,
1,1439,07/13/2022,268,Calvin,,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,more than one bunch in HVC??
1,1441,07/20/2022,23,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1442,07/19/2022,24,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1443,07/19/2022,87,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1444,07/18/2022,120,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1445,07/18/2022,224,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1446,07/22/2022,12,Calvin,,FALSE,FALSE,FALSE,Received Material,FALSE,
1,1447,07/18/2022,261,Calvin,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1448,07/14/2022,490,Calvin,,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,look for at least 3 plts
1,1449,07/14/2022,662,Calvin,,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,find ALL tags on CN pile
1,1450,07/21/2022,192,Calvin,,TRUE,FALSE,FALSE,A-part,FALSE,
1,1452,07/14/2022,224,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1455,07/14/2022,120,Calvin,,TRUE,FALSE,FALSE,A-part,FALSE,
1,1456,07/22/2022,259,Calvin,,FALSE,FALSE,FALSE,Verify Prev Count,FALSE,
1,1457,07/15/2022,268,Nate,,FALSE,FALSE,FALSE,,FALSE,
1,1459,07/19/2022,628,,CM Count,TRUE,FALSE,FALSE,CM Random Count,TRUE,
1,1460,07/19/2022,132,,CM Count,TRUE,FALSE,FALSE,CM Random Count,TRUE,
1,1461,07/19/2022,271,,CM Count,TRUE,FALSE,FALSE,CM Random Count,TRUE,
1,1462,07/19/2022,222,,CM Count,TRUE,FALSE,FALSE,CM Random Count,TRUE,
1,1463,07/19/2022,131,,CM Count,TRUE,FALSE,FALSE,CM Random Count,TRUE,
1,1464,07/20/2022,217,,,TRUE,FALSE,FALSE,,FALSE,
1,1465,07/20/2022,505,,,TRUE,FALSE,FALSE,,FALSE,
1,1466,07/20/2022,630,,CM Ct,TRUE,FALSE,TRUE,CM Random Count,TRUE,
1,1467,07/20/2022,184,,CM Ct,TRUE,FALSE,FALSE,CM Random Count,TRUE,
1,1468,07/20/2022,343,,CM Ct,TRUE,FALSE,FALSE,CM Random Count,TRUE,
1,1469,07/20/2022,346,,CM Ct,TRUE,FALSE,FALSE,CM Random Count,TRUE,
1,1470,07/22/2022,9,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/14/2022,FALSE,
1,1471,07/22/2022,10,,,FALSE,FALSE,FALSE,Movement 311 to GBRW on 07/18/2022,FALSE,
1,1472,07/27/2022,21,,,FALSE,FALSE,FALSE,Movement 311 from GBRW on 07/18/2022,FALSE,
1,1473,07/27/2022,22,,,TRUE,FALSE,FALSE,Movement 311 from GBRU on 07/18/2022,FALSE,
1,1474,07/26/2022,23,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/18/2022,FALSE,
1,1475,07/22/2022,28,,,TRUE,FALSE,FALSE,Movement 311 from GBRU on 07/18/2022,FALSE,
1,1476,07/21/2022,33,,,TRUE,FALSE,FALSE,Movement 101 to GBRU on 07/14/2022,FALSE,
1,1477,07/27/2022,44,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1478,07/21/2022,65,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1479,07/21/2022,66,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/14/2022,FALSE,
1,1480,07/21/2022,83,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/14/2022,FALSE,
1,1481,07/22/2022,85,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/15/2022,FALSE,
1,1482,07/29/2022,87,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/15/2022,FALSE,
1,1483,07/21/2022,92,,info,TRUE,FALSE,FALSE,Picked for Orders,FALSE,Get location info
1,1484,07/27/2022,104,,,FALSE,FALSE,FALSE,Movement 311 from GBRW on 07/14/2022,FALSE,
1,1485,07/22/2022,120,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/14/2022,FALSE,
1,1486,07/26/2022,140,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/15/2022,FALSE,
1,1487,07/26/2022,142,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/15/2022,FALSE,
1,1488,07/26/2022,149,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1489,07/21/2022,218,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1491,07/21/2022,234,,,TRUE,FALSE,FALSE,Picked for Orders,TRUE,
1,1492,07/21/2022,235,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/15/2022,FALSE,
1,1493,07/22/2022,247,,,TRUE,FALSE,FALSE,Movement 311 to GBRW on 07/18/2022,FALSE,
1,1494,07/28/2022,254,,,FALSE,FALSE,FALSE,Picked for Orders,FALSE,
1,1495,07/26/2022,261,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/14/2022,FALSE,
1,1496,07/27/2022,268,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1497,07/25/2022,278,,,TRUE,FALSE,TRUE,Picked for Orders,FALSE,
1,1498,07/27/2022,318,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1499,07/27/2022,335,,,FALSE,FALSE,FALSE,Picked for Orders,FALSE,
1,1500,07/21/2022,348,,,TRUE,FALSE,FALSE,Movement 261 from GBRW on 07/14/2022,FALSE,
1,1501,07/22/2022,356,,,FALSE,FALSE,FALSE,Picked for Orders,FALSE,
1,1502,07/21/2022,407,,,TRUE,FALSE,FALSE,Movement 311 to GBRC on 07/18/2022,FALSE,
1,1503,07/22/2022,432,,,TRUE,FALSE,FALSE,Movement 101 to GBRU on 07/14/2022,FALSE,
1,1504,07/25/2022,467,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1505,07/29/2022,549,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1506,07/29/2022,550,,,TRUE,FALSE,FALSE,Movement 261 from GBRW on 07/14/2022,FALSE,
1,1507,07/27/2022,554,,,FALSE,FALSE,FALSE,Picked for Orders,FALSE,
1,1508,07/25/2022,628,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1509,07/27/2022,637,,,FALSE,FALSE,FALSE,Picked for Orders,TRUE,
1,1510,07/28/2022,654,,,TRUE,FALSE,FALSE,Movement 101 to GBRU on 07/18/2022,FALSE,
1,1512,07/21/2022,688,,,TRUE,FALSE,FALSE,"Movement 101 to GBRU on 07/18/2022, Initial Count",TRUE,
1,1513,07/21/2022,689,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1514,07/21/2022,404,,,TRUE,FALSE,FALSE,Initial Count,TRUE,50 @868??
1,1515,07/22/2022,217,,,FALSE,FALSE,FALSE,Verify Prev Count,FALSE,
1,1516,07/22/2022,343,,,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,do not trust the tags at RBFB_1!!
1,1517,07/29/2022,88,,,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,
1,1518,07/28/2022,92,,,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,
1,1519,07/27/2022,192,Calvin,,TRUE,FALSE,FALSE,,TRUE,physical count
1,1520,07/27/2022,218,Calvin,,TRUE,FALSE,FALSE,,FALSE,physical count
1,1521,07/28/2022,404,,,FALSE,FALSE,FALSE,Verify Prev Count,FALSE,physically count!
1,1522,07/29/2022,24,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1523,07/29/2022,33,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1524,07/28/2022,63,,,FALSE,FALSE,FALSE,Picked for Orders,FALSE,
1,1525,07/25/2022,224,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/19/2022,FALSE,
1,1526,07/25/2022,226,,,TRUE,FALSE,FALSE,Movement 311 from GBRC on 07/19/2022,FALSE,
1,1527,07/25/2022,258,,,TRUE,FALSE,FALSE,Movement 311 from GBRC on 07/19/2022,FALSE,
1,1530,07/26/2022,356,,,TRUE,FALSE,FALSE,Movement 311 from GBRC on 07/21/2022,FALSE,
1,1531,07/28/2022,259,,HOT!!!,TRUE,FALSE,FALSE,Ryan request - URGENT!,FALSE,
1,1533,07/26/2022,65,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1534,07/29/2022,305,,,TRUE,FALSE,FALSE,Movement 101 to GBRU on 07/19/2022,FALSE,
1,1536,07/26/2022,432,,,TRUE,FALSE,FALSE,Movement 311 to GBRW on 07/19/2022,TRUE,
1,1537,07/28/2022,29,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/19/2022,FALSE,
1,1538,07/28/2022,6,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/20/2022,FALSE,
1,1539,07/28/2022,549,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1540,07/25/2022,686,,,TRUE,FALSE,TRUE,Movement 101 to GBRU on 07/20/2022,FALSE,Find part type.  Is this L-10?
1,1541,07/28/2022,12,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/20/2022,FALSE,
1,1542,07/25/2022,229,,,TRUE,FALSE,FALSE,SAP Movements on 07/19/2022,FALSE,Is this really non-L10?
1,1543,07/29/2022,466,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1544,07/26/2022,120,,,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,
1,1545,07/27/2022,132,,,FALSE,FALSE,FALSE,Verify Prev Count,FALSE,
1,1546,07/28/2022,247,,,FALSE,FALSE,FALSE,Verify Prev Count,FALSE,
1,1547,07/26/2022,131,,,TRUE,FALSE,FALSE,Movement 311 to GBRW on 07/22/2022,FALSE,
1,1549,07/28/2022,279,,hot,TRUE,FALSE,FALSE,"Picked for Orders, Ryan request",FALSE,
1,1550,07/28/2022,313,,hot,TRUE,FALSE,FALSE,"Movement 101 to GBRU on 07/21/2022, Ryan request",FALSE,
1,1551,07/29/2022,465,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1552,07/29/2022,85,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/25/2022,FALSE,
1,1561,07/29/2022,280,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/21/2022,FALSE,
1,1562,07/29/2022,490,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1564,07/26/2022,684,,,TRUE,FALSE,FALSE,Movement 311 from GBRW on 07/22/2022,FALSE,
1,1565,07/27/2022,505,,,FALSE,FALSE,FALSE,Movement 101 to GBRU on 07/21/2022,FALSE,
1,1567,07/29/2022,195,,info,TRUE,FALSE,FALSE,"Initial Count, information, part type",FALSE,
1,1568,07/29/2022,690,,info,TRUE,FALSE,FALSE,"Initial Count, information, part type",FALSE,
1,1569,07/28/2022,686,,,TRUE,FALSE,FALSE,Movement 101 to GBRU on 07/20/2022,FALSE,Find part type.  Is this L-10?
1,1570,07/26/2022,96,,CM Ct,TRUE,FALSE,FALSE,CM Random Count,FALSE,
1,1571,07/26/2022,93,,CM Ct,TRUE,FALSE,FALSE,CM Random Count,TRUE,
