ID,CountDate,MaterialID,PartialCountID,AreasToCount,WorksheetXAreas,Counter,Priority,Completed,Unscheduled,Material Not Found,Reason Scheduled,CM Print Flag,Notes
118,04/07/2022,93,0,,,Ryan,,TRUE,FALSE,FALSE,,FALSE,
119,04/12/2022,193,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
120,04/11/2022,399,0,,,Calvin,hot,TRUE,FALSE,FALSE,,FALSE,
121,04/11/2022,459,0,,,Calvin,,TRUE,FALSE,TRUE,,FALSE,NOT OUR PART
122,04/11/2022,460,0,,,Calvin,,TRUE,FALSE,TRUE,,FALSE,NOT OUR PART
123,04/12/2022,55,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
124,04/12/2022,184,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
125,04/12/2022,61,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
126,04/12/2022,62,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
127,04/12/2022,628,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
128,04/12/2022,10,0,,,Calvin,hot,TRUE,FALSE,FALSE,,FALSE,
129,04/11/2022,400,0,,,Ryan,Mindy,TRUE,FALSE,FALSE,,FALSE,
130,04/11/2022,394,0,,,Ryan,Mindy,TRUE,FALSE,FALSE,,FALSE,
131,04/13/2022,120,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
132,04/13/2022,131,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
133,04/13/2022,106,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
134,04/13/2022,96,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
135,04/13/2022,630,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
136,04/13/2022,134,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
137,04/15/2022,105,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
138,04/13/2022,111,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
139,04/14/2022,88,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
140,04/14/2022,105,0,,,Calvin,,FALSE,FALSE,FALSE,,FALSE,
141,04/14/2022,201,0,,,Calvin,,FALSE,FALSE,FALSE,,FALSE,
142,04/14/2022,294,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
143,04/13/2022,224,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
144,04/13/2022,192,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
145,04/14/2022,56,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
146,04/14/2022,66,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
147,04/14/2022,96,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
148,04/14/2022,106,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
149,04/14/2022,120,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
150,04/14/2022,131,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
151,04/14/2022,134,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
152,04/14/2022,280,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
153,04/14/2022,311,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
154,04/14/2022,628,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
155,04/14/2022,630,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
156,04/14/2022,637,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
157,04/15/2022,305,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
158,04/15/2022,662,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
159,04/18/2022,93,0,,,((unassigned)),,FALSE,FALSE,FALSE,,FALSE,
160,04/15/2022,104,0,,,Chris,,FALSE,FALSE,FALSE,,FALSE,
161,04/15/2022,117,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
162,04/15/2022,132,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
163,04/15/2022,206,0,,,Nikkia,,TRUE,FALSE,FALSE,,FALSE,
164,04/15/2022,314,0,,,Calvin,,FALSE,FALSE,FALSE,,FALSE,
165,04/15/2022,563,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
166,04/18/2022,23,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
167,04/18/2022,24,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
168,04/18/2022,268,0,,,Calvin,,FALSE,FALSE,FALSE,,FALSE,
169,04/18/2022,373,0,,,Chris,,TRUE,FALSE,FALSE,,FALSE,
170,04/18/2022,374,0,,,Calvin,,TRUE,FALSE,FALSE,,FALSE,
171,04/18/2022,55,0,,,((unassigned)),,FALSE,FALSE,FALSE,,FALSE,
172,04/18/2022,96,0,,,Calvin,,FALSE,FALSE,FALSE,,FALSE,
173,04/18/2022,106,0,,,Calvin,,FALSE,FALSE,FALSE,,FALSE,
