Bldg,Location,SubLocation
SMC,AST_1 plt 3,
SMC,AST_1 plt 4,
SMC,AST_1 plt 5,
SMC,AST_2 p14,
SMC,AST_2 p2,
SMC,AST_2 plt 11,
SMC,AST_2 plt 12,
SMC,AST_2 plt 13,
SMC,AST_2 plt 14,
SMC,AST_2 plt 2,
SMC,AST_2 plt 3,
SMC,AST_2 plt 4,
SMC,AST_2 plt 5,
SMC,AST_2 plt 5-10,
SMC,AST_3 p12,
SMC,"AST_3 plt 1,2,3",
SMC,AST_3 plt 10,
SMC,AST_3 plt 11,
SMC,AST_3 plt 12,
SMC,AST_3 plt 5,
SMC,"AST_3 plt 5,6",
SMC,AST_3 plt 7,
SMC,AST_3 plt 8,
SMC,AST_3 plt 9,
SMC,"AST_3, p1 & p5",
SMC,AST1-1,
SMC,AST1p11,
SMC,AST1plt3,
SMC,AST2 p1,
SMC,AST2 p10,
SMC,AST2 p11,
SMC,AST2 p12,
SMC,AST2 p13,
SMC,AST2 p2,
SMC,AST2 p3,
SMC,AST2 p4,
SMC,AST2 p5,
SMC,AST2 p6,
SMC,AST2 p6-10,
SMC,AST2 p7,
SMC,AST2plt13,
SMC,AST2plt5,
SMC,AST3 p1,
SMC,AST3 p10,
SMC,AST3 p11,
SMC,AST3 p12,
SMC,AST3 p13,
SMC,AST3 p3,
SMC,AST3 p4,
SMC,AST3 p6,
SMC,AST3 p7,
SMC,AST3 p8,
SMC,AST3 p9,
SMC,AST3 plt 12,
SMC,AST3p6,
SMC,AST4 p5,
SMC,AST5 plt 13,
SMC,B-1,
SMC,"B-1, C-1",
SMC,B12,
SMC,B-2,
SMC,C-1,
SMC,C-1 plt 2,
SMC,C-1 plt 4,
SMC,CN,
SMC,CN_1,
SMC,CN_1 p4,
SMC,CN_2,
SMC,CN_2 p4,
SMC,CN_2 plt 11,
SMC,CN_2 plt 3,
SMC,CN_2 plt 6,
SMC,CN_2 plt 9,
SMC,CN_3,
SMC,CN_4,
SMC,CN3,
SMC,CN4,
SMC,D-1,
SMC,D2-D10,
SMC,E,
SMC,E and F,
SMC,E-1,
SMC,E-1 plt 1,
SMC,E-1 plt 10-14,
SMC,E-1 plt 9,
SMC,"E-1, H-1",
SMC,"E-1, I-1, L-1",
SMC,F,
SMC,F plt 5,
SMC,"F,I,L",
SMC,F-1,
SMC,F-1 and G-1,
SMC,F-1 plt 10,
SMC,F-1 plt 13,
SMC,F-1 plt 3,
SMC,F-1 plt 5,
SMC,F-1 plt 6,
SMC,F-1 plt 7,
SMC,F-1 plt 8,
SMC,F-1 plt 9,
SMC,"F-1, E-1",
SMC,G-1,
SMC,G-1 plt 5,
SMC,"G-1 plt 5,6",
SMC,G-1 plt 8,
SMC,G-1 plt 9,
SMC,"G-1, K-1",
SMC,H-1,
SMC,H-1 plt 12,
SMC,H-1 plt 14,
SMC,"H-1, I-1",
SMC,I-1,
SMC,I-1 plt 4,
SMC,"I-1, G-1",
SMC,"I-1, J-1",
SMC,"I-1,L-1,F-1",
SMC,"in front of aisles, by racks",
SMC,J-1,
SMC,J-1 plt 10,
SMC,"J-2, K",
SMC,K-1,
SMC,K-1 plt 10,
SMC,K-1 plt 4,
SMC,K-1 plt 6,
SMC,K-1 plt 9,
SMC,L-1,
SMC,L-1 plt 2,
SMC,L-1 plt 3,
SMC,nr HVC,
SMC,pick area,
SMC,RBFB,
SMC,"RBFB, Iwest",
SMC,RBFB_1,
SMC,RBFB_2,
SMC,"RBFB_2,3",
SMC,RBFB_3,
SMC,"RBFB_3,4",
SMC,RBFB_4,
SMC,RBFB1,
SMC,RBFB2,
SMC,"RBFB2,4",
SMC,RBFB3,
SMC,RBFB4,
SMC,Screw/Label area,
SMC,Screws/Labels,
SMC,West dock,
SMC,X1-1,
SMC,Xena 1-1,
SMC,Xena_1-1,
SMC,Xena1-1,
SMC_AST,,
SMC_AST,A2p1 and A3p1,
SMC_AST_1-1,p10,
