orgID,oldID,Material,Description,PartTypeID,Material type,Material Group,Price,Price Unit,Notes
1,237,1110820,"ASM, PDB Ejection Module, Board to Board",12,ZROH,05,"6,070.00",1000,
1,238,1110820-01,"ASM, PDB Ejection Module, Board to Board",3,ZROH,05,"3,277.17",1000,
1,239,1110820-01-FLG,"ASM, PDB Ejection Module, Mobo Bottom Br",24,ZROH,05,0.00,1000,
1,240,1110831,"Plastic, PDB Interposer Cradle w/ M3x3 T",3,ZROH,05,860.00,1000,
1,241,1110831-FLG,"Plastic, PDB Interposer Cradle w/ M3x3 T",24,ZROH,05,0.00,1000,
1,242,1110833,"ASM, PDB Bracket",3,ZROH,05,"14,989.76",1000,
1,243,1110833-FLG,"ASM, PDB Bracket",24,ZROH,05,0.00,1000,
1,244,1110834,"ASM, PDB Cover",3,ZROH,05,"1,630.00",1000,
1,245,1110834-FLG,"ASM, PDB Cover",24,ZROH,05,0.00,1000,
1,246,1110835,"ASM, PDB Fan Cage Bracket",24,ZROH,05,"2,030.00",1000,
1,247,1110835-01,"ASM, PDB Fan Cage Bracket",3,ZROH,05,"2,400.00",1000,
1,248,1110835-01-FLG,"ASM, PDB Fan Cage Bracket",24,ZROH,05,0.00,1000,
1,249,1110841,"Plastic, PDB Cable Duct w/ M3x3 Threaded",3,ZROH,05,600.00,1000,
1,250,1110841-FLG,"Plastic, PDB Cable Duct w/ Inserts",24,ZROH,05,0.00,1000,
1,251,1110843,"Plastic, PDB Fan Holder w/ Inserts, IZU/",3,ZROH,05,330.00,1000,
1,252,1110843-FLG,"Plastic, PDB Fan Holder w/ Inserts, IZU/",24,ZROH,05,0.00,1000,
1,253,1110844-01,"SM, PDB Fan Cage Bracket",24,ZROH,05,0.00,1000,
1,254,1110847,"ASM, Bay Air Baffle Module",3,ZROH,05,"6,310.00",1000,
1,255,1110847-FLG,"ASM, Bay Air Baffle Module  ",24,ZROH,05,0.00,1000,
1,256,1110850,"ASM, Tray Right Blank Filler",3,ZROH,05,"1,650.00",1000,
1,257,1110850-FLG,"ASM, Tray Right Blank Filler ",24,ZROH,05,0.00,1000,
1,258,1111596-01,"Memory, 32GB, Samsung-IDT/RBS-MPS, DDR5-",1,ZROH,02,0.00,1000,
1,259,1111598-01,"Memory, 32GB, Samsung-MTG-S.LSI, DDR5-48",1,ZROH,02,0.00,1000,
1,260,1111599-01,"Memory, 32GB, Samsung-MTG-S.LSI, DDR5-48",24,ZROH,02,0.00,1000,
1,261,1111669-01,"Memory, 64GB, Samsung-IDT/RBS-MPS, DDR5-",1,ZROH,02,"420,000.00",1000,
1,262,1111728-01,"Memory, 32GB, Micron-Montage/Renesas-MPS",24,ZROH,02,0.00,1000,
1,263,1111728-02,"Memory, 32GB, Micron-Montage/Renesas-MPS",1,ZROH,05,0.00,1000,
1,264,1111735-01,"Memory, 32GB, Micron-Montage/Renesas-Ric",24,ZROH,05,0.00,1000,
1,265,1111738-01,"Memory, 32GB, Micron-Montage/Renesas-Ric",24,ZROH,02,0.00,1000,
1,266,1111739-01,"Memory, 32GB, Micron-Montage/Renesas-MPS",1,ZROH,02,0.00,1000,
1,267,1112025,"Options, Programmed part, BIOS, Rackback",24,ZMOD,05,,,
1,268,1112028-01,"Options, Programmed part, BIOS, Rackback",15,ZROH,05,"1,341.48",1000,
1,269,1112140,"Option, Memory, 64GB, 9x4, 2Rx4 RANK, DD",24,ZMOD,SM009,,,
1,270,1112233-01,"Memory, 64GB, Hynix-Renesas-TI, DDR5-480",1,ZROH,02,0.00,1000,
1,271,1112234-01,"Memory, 64GB, Hynix-Renesas-TI, DDR5-480",1,ZROH,02,0.00,1000,
1,272,1112236-01,"Memory, 64GB, Hynix-Renesas-TI, DDR5-480",1,ZROH,02,0.00,1000,
1,273,1112237-01,"Memory, 64GB, Hynix-Rambus-Renesas, DDR5",1,ZROH,02,"420,000.00",1000,
1,274,1112244-01,"Memory, 32GB, Hynix-Renesas-TI, DDR5-480",1,ZROH,02,0.00,1000,
1,275,1112246-01,"Memory, 32GB, Hynix-Rambus-Renesas, DDR5",24,ZROH,02,0.00,1000,
1,276,1112270,"Assy, Fan Module, Plastic Guard, Rackbac",24,ZMOD,SM009,,,
1,277,1112401-01,"Memory, 32GB, Samsung-Montage-S.LSI, DDR",24,ZROH,02,0.00,1000,
1,278,1112402-01,"Memory, 32GB, Samsung-IDT/Rambus-MPS, DD",1,ZROH,02,"220,000.00",1000,
1,279,1112433-01,"Memory, 64GB, Samsung-Montage-S.LSI, DDR",1,ZROH,02,"420,000.00",1000,
1,280,1112460,"Sheet Metal, IZU x8 PCIe Dummy Bracket",3,ZROH,05,270.00,1000,
1,281,1112460-FLG,"Sheet Metal, IZU x8 PCIe Dummy Bracket",24,ZROH,05,0.00,1000,
1,282,1112582,"ASM, Top Cover w/ Hardware",18,ZROH,03,"41,290.00",1000,
1,283,1112583,"Plastic, Baffle, EMC, Astoria",12,ZROH,03,"16,500.00",1000,
1,284,1112583-01,"Plastic, Baffle, EMC, Astoria, EVT1",4,ZROH,05,"16,500.00",1000,
1,285,1112593,"ASM, Tray Cover, Air Baffle, Astoria",24,ZROH,05,"60,190.00",1000,
1,286,1112593-01,"ASM, Tray Cover, Air Baffle, Astoria, EV",12,ZROH,05,"60,190.00",1000,
1,287,1112593-02,"ASM, Tray Cover, Air Baffle, Astoria, EV",3,ZROH,05,"41,421.20",1000,
1,288,1112593-02-FLG,"ASM, Tray Cover, Air Baffle, Astoria(FLE",24,ZROH,05,0.00,1000,
1,289,1112593-03,"ASM, Tray Cover, Air Baffle, Astoria, EV",24,ZMOD,SM009,,,
1,290,1112690,"Assy, Tray, ASTORIA, Base Config, Pre-EV",24,ZMOD,03,,,
1,291,1112728,"Assy, Tray, Conan, 1xAltra 64/3.0, 1x64G",24,ZFRT,01,"1,169,640.00",1000,
1,292,1112729,"Assy, Tray, Conan, 1xAltra 64/3.0, Base",24,ZMOD,05,,,
