Material,Plant,Valuation Type,Material description,Last Change,Material type,Material Group,Base Unit of Measure,Purchasing Group,ABC Indicator,MRP Type,Valuation Class,Price control,Price,Currency,Price unit,Created by
G1105336-1,FW62,,"IC,OP Amp, Dual, GP R-R I/O, -40 to +85C",09/07/2022,ZROH,UMOTHR,EA,SP2,A,PD,3000,V,660.00,USD,"1,000",FIIWENG02
G1105345,FW62,,"JDM, BATTERY LI,3V,210MAH(CR2032)",09/07/2022,ZROH,UMOTHR,EA,SP4,A,PD,3000,V,"2,930.00",USD,"10,000",FIIWENG02
G1105345-1,FW62,,"JDM, BATTERY LI,3V,210MAH(CR2032)",09/07/2022,ZROH,UMOTHR,EA,SP4,A,PD,3000,V,"2,930.00",USD,"10,000",FIIWENG02
G14000146-01,FW62,,"ODM,BATTERY LI,3V,210MAH(CR2032)",09/07/2022,ZROH,UMOTHR,EA,SP4,A,PD,3000,V,"6,000.00",USD,"10,000",FIIWENG02
G14000146-02,FW62,,"JDM, BATTERY LI,3V,210MAH(CR2032)",07/13/2022,ZROH,UMOTHR,EA,FWJ,B,PD,3000,V,0.00,USD,1,FIIWENG02
G40000562-05,FW62,,"Fab, PCB, Indus MB, LBG S0, Rohs",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"1,098,584.01",USD,"10,000",FIIWENG02
G40000562-05-1,FW62,,"Fab, PCB, Indus MB, LBG S0, Rohs",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"1,261,200.00",USD,"10,000",FIIWENG02
G40000562-05-2,FW62,,"Fab, PCB, Indus MB, LBG S0, Rohs",09/07/2022,ZROH,UMOTHR,EA,FWM,A,PD,3000,V,"109,550.00",USD,"1,000",FIIWENG02
G7139104,FW62,,"ODM,Cap Ceramic 0.015uF 16V X7R 10% SMD",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,980.01,USD,"1,000",FIIWENG02
G7139104-1,FW62,,"ODM,Cap Ceramic 0.015uF 16V X7R 10% SMD",09/07/2022,ZROH,UMOTHR,KPC,SP4,C,PD,3000,V,"1,000.12",USD,"1,000",FIIWENG02
G861A04142HR,FW62,,"Header&Socket Connector,G861A04142HR,Wir",09/07/2022,ZROH,UMOTHR,EA,SP1,A,PD,3000,V,"3,000.00",USD,"10,000",FIIWENG02
G861A08143HR-G,FW62,,TBD,09/07/2022,ZROH,UMOTHR,EA,SP1,A,PD,3000,V,380.00,USD,"10,000",FIIWENG02
G861AB04121TS-G,FW62,,"CONN DIP HEADER 4P 1R MS(P2.54,H10.85)",09/07/2022,ZROH,UMOTHR,EA,SP1,A,PD,3000,V,"1,440.00",USD,"10,000",FIIWENG02
G861AB04121TS3-G,FW62,,TBD,09/07/2022,ZROH,UMOTHR,EA,SP1,A,PD,3000,V,0.00,USD,1,FIIWENG02
G861AB05221TS3HR,FW62,,"Header&Socket Connector,G861AB05221TS3HR",09/07/2022,ZROH,UMOTHR,EA,SP1,A,PD,3000,V,"2,000.00",USD,"10,000",FIIWENG02
GRF31CR72A105-G,FW62,,CAP CHIP 1U 100V(10%.1206.X7R)MUR,09/07/2022,ZROH,UMOTHR,EA,SP4,A,PD,3000,V,395.90,USD,"10,000",FIIWENG02
