| id    | Material             | Description                                   | SAPMaterialType | SAPMaterialGroup | Price  | PriceUnit | Notes                                                                                                                                          | PartType_id | org_id | TypicalContainerQty | TypicalPalletQty |
|  9188 | 1036057-02           | Cable, Power, PDBB to Mobo, Length 102mm      | ZMOD            | 05               |      0 |         0 | use PCB012800385 instead                                                                                                                       |          22 |      1 |                NULL |             NULL |
|  9189 | 1036578-07           | CSSD-PH, PCBA, 64GB Raw, 48GB Useable, S      | ZROH            | 02               |     36 |      1000 |                                                                                                                                                |          10 |      1 |                NULL |             NULL |
|  9190 | 1036580-07           | CSSD-PH, PCBA, 64GB Raw, 48GB Useable, S      | ZROH            | 02               |     36 |      1000 |                                                                                                                                                |           8 |      1 |                NULL |             NULL |
|  9191 | 1037037-05           | ASSY, PCBA, Temperature Sensor, I2C, Hig      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          14 |      1 |                NULL |             NULL |
|  9192 | 1037497-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9193 | 1037500-01           | Option, Memory, 32GB, 2Rx4 RANK, DDR4-24      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9194 | 1038012-06           | Options, CSSD, Secure Case, Sandforce 22      | ZROH            | 03               |     26 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9195 | 1038012-07           | CSSD-PH, Extra Secure Case, 64GB Raw, 48      | ZROH            | 02               |     42 |      1000 |                                                                                                                                                |          15 |      1 |                NULL |             NULL |
|  9196 | 1038019-06           | Options, CSSD, Secure Case, Sandforce 22      | ZROH            | 05               |     26 |      1000 | No Inventory as of 05/16/2022 - Do NOT schedule for counts                                                                                     |          22 |      1 |                NULL |             NULL |
|  9197 | 1039144-01           | Cable, HDMI, Type D Male-to-Male, 19p, 3      | ZROH            | 03               |      3 |      1000 |                                                                                                                                                |          16 |      1 |                NULL |             NULL |
|  9198 | 1040488-02           | Assy, Razorback PCIe x 8, 4096GB eTLC, 0      | ZROH            | 02               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
